Category,Color Name,Hex Code,Tailwind Reference,Description
"Status & Feedback","Active Green (Bg)","#DCFCE7","bg-green-100","Background for ""Active"" badges"
"Status & Feedback","Active Green (Text)","#15803D","text-green-700","Text color for ""Active"" badges"
"Status & Feedback","Published Blue (Bg)","#DBEAFE","bg-blue-100","Background for ""Published"" badges"
"Status & Feedback","Published Blue (Text)","#1D4ED8","text-blue-700","Text color for ""Published"" badges"
"Status & Feedback","Unpublished Orange (Bg)","#FFEDD5","bg-orange-100","Background for ""Unpublished"" badges"
"Status & Feedback","Unpublished Orange (Text)","#C2410C","text-orange-700","Text color for ""Unpublished"" badges"
"Status & Feedback","Synced Text","#16A34A","text-green-600","Used for ""Synced"" checkmarks/text"
"Status & Feedback","Alert Dot","#F87171","bg-red-400","Pulsing red dot for alerts"
"Status & Feedback","Warning Amber","#F59E0B","text-amber-500","Icon color for preset categories"
"Brand & Interaction","Primary Action","#2563EB","bg-blue-600","Main ""Create Package"" button"
"Brand & Interaction","Primary Hover","#1D4ED8","bg-blue-700","Hover state for primary buttons"
"Brand & Interaction","Interactive Text","#2563EB","text-blue-600","Link text and secondary icons"
"Brand & Interaction","Selection Background","#EFF6FF","bg-blue-50","Active category tab/hover bg"
"Brand & Interaction","Border Accent","#93C5FD","border-blue-300","Dashed border for secondary actions"
"Brand & Interaction","Delete Action","#DC2626","bg-red-600","Destructive ""Delete"" button"
"Brand & Interaction","Delete Hover","#B91C1C","bg-red-700","Hover state for delete buttons"
"UI Foundation","Page Background","#F9FAFB","bg-gray-50","Main application background area"
"UI Foundation","Card Surface","#FFFFFF","bg-white","Background for cards and dialogs"
"UI Foundation","Main Text","#111827","text-gray-900","Headings and titles"
"UI Foundation","Body Text","#4B5563","text-gray-600","Standard description text"
"UI Foundation","Muted Text","#6B7280","text-gray-500","Labels and meta-data"
"UI Foundation","Disabled/Placeholder","#9CA3AF","text-gray-400","Inactive icons and empty states"
"UI Foundation","Borders","#E5E7EB","border-gray-200","Card borders and dividers"
"System Theme variables","--primary","#375DFB","0.55 0.22 260 (oklch)","Global primary brand color"
"System Theme variables","--background","#F8F9FC","0.985 0.005 240 (oklch)","Global app background tint"
"System Theme variables","--destructive","#E62E2E","0.6 0.2 25 (oklch)","Global error state color"
